SDNN,RMSSD,LF,HF,LF/HF Ratio,label
50.81,32.80,857.99,567.96,2.57,1
44.16,32.06,630.39,484.09,2.09,1
45.31,28.1,1009.35,326.26,5.16,1
53.97,29.29,973.06,303.23,4.21,1
32.2,18.9,321.7,204.7, 1.57,1
46.52,31.19, 595.86,290.03,2.05,1
50.91,37.34,706.27,437.03,1.61,1
46.53,31.19,595.86,290.03,2.05,1
83.10,47.94,4675.07,441.42,10.59,1
57.97,36.60,1248.88,368.71,3.39,1
49.40,29.96,871.31,270.43,3.22,1
47.47,32.34,742.48,354.25,2.10,1
39.73,41.61,544.32,121.19,4.49,1
40.14,41.93,554.73,124.45,4.46,1
34.37,35.97,394.81,104.9,3.76,1
35.3,36.79,421.82,110.52,3.82,1
37.15,38.9,472.5,113.37,4.17,1
37.98,39.64,495.55,118.24,4.19,1
39.85,42.95,290.03,102.51,1.57,1
36.03,36.93,242.26,63.43,2.83,1
25.2,16.2,66.67,60.34,1.2,1
32.33,10.27,80.41,22.21,2.32,1
81.85,10.69,77.57,24.07,2.41,1
31.73,10.05,81.14,21.92,2.58,1
22.0,16.00,158.49,275.42,1.24,1
30.90,23.99,177.83,181.97,0.98,1
21,11,62.18,37.71,1.14,1
97.513810076089,51.94549497464178,6638.947414185323,2093.023042521525,3.1719418655741087,0
64.96315973089843,57.15975383251733,1204.830052271589,1065.660084688743,1.1305950833501424,0
155.93297434759876,52.555878846593295,8218.770765041818,942.951986376708,8.716001327514496,0
104.53807089604565,43.38634096048893,3093.87810676809,2620.7571068452703,1.1805283666643713,0
67.8122960826427,43.235297731132434,1445.6361742715615,624.9626046964966,2.313156280724368,0
57.55042967307504,42.742285971078395,1670.4346956734,482.01871282473917,3.4654976066889045,0
59.1723862024246,39.70543714820975,467.6792820987222,347.3260617885424,1.346513646832102,0
53.20937876811652,51.94897161805913,441.4857282467973,166.93431494241295,2.644667325583095,0
52.08943334944878,49.49588679238456,625.813859025953,231.3829410727208,2.7046672331356847,0
45.4567540513936,44.99869934946801,498.8405538261339,65.52803273891958,7.6126282596280905,0
36.90074916433119,49.58769806445046,202.2191487300999,192.72239895356103,1.0492768345978676,0
43.533693719794655,44.37989692232419,342.7808747341804,181.2372447394772,1.8913379268533739,0
60.330117409687396,62.58914712466245,900.4539772704775,877.8962880098933,1.0256951641881529,0
99.06173697918554,57.77299597169209,480.15054759084586,293.5212158429568,1.63582910425031,0
82.52787239607126,42.75030559846961,297.9974556350334,405.28688874135497,0.735275341772057,0
67.74177531052919,68.0070082951568,2136.5818850239375,383.59193732298183,5.569934289898669,0
85.5190902014801,46.02518577640408,1739.905648135416,526.5469594947951,3.3043693762941855,0
80.20382368274802,38.794760533041746,1099.4628841011147,478.9367847554965,2.2956325742705372,0
58.917895413872344,52.366728439837054,553.1909589110263,229.2497628217937,2.413049209307348,0
64.04008501625282,45.43546270153975,471.14726505863064,735.7290989978512,0.6403814470576032,0
63.02885582546035,49.46137981946606,854.9820389601226,719.1716283570723,1.1888428370197326,0
86.39565800560942,47.03873021743069,613.0261577065746,397.2791264077594,1.5430615830477254,0
42.72473275386154,46.89695528193402,198.8849437094521,123.19254086011125,1.6144235870197028,0
59.96250902763233,46.3907354376729,854.3722990667101,326.0490414349479,2.620379729707536,0
41.36966830366852,42.69433241153783,138.1986622739547,298.94831984473683,0.4622827863549466,0
82.98347599907399,50.055053303378,568.8887198657153,702.8923327421368,0.8093539982807266,0
112.16903964800429,63.55081184075251,478.64537215318103,915.2457146914722,0.5229692578397175,0
89.93410525984504,52.759535269682864,956.3544999270576,700.7927508103953,1.3646752179173247,0
58.40749343097073,55.10631257504651,427.6783303142448,190.1888685784432,2.2487032680245918,0
62.57857025816071,75.12607018475465,862.7068250363982,543.4106274117393,1.5875781251196068,0
64.92601396119193,51.43148184152111,231.55297117028178,249.7943630568125,0.9269743653807674,0
